Wasser;4;-1
Maismehl;5;-1
Backpulver;5;-1
Banane;1;-1
Apfelsaft;4;-1
Kiwi;1;-1
Puddingpulver (Vanille);5;-1
Gorgonzola;2;-1
Mehl;5;-1
Vanillepulver;5;-1
Salat;0;-1
Gurke;0;-1
Mais;3;-1
Parmesan;2;-1
Orangensaft;4;-1
Milch;4;-1
Magarine;5;-1
Selter;4;-1
Kidney Bohnen;3;-1
Paprika;0;-1
Zwiebel;0;-1
Apfel;1;-1
